CONFERENCE,GAME,HOME_TEAM,AWAY_TEAM,WINNER
East,7v8,Philadelphia 76ers,Toronto Raptors,Toronto Raptors
East,9v10,Miami Heat,Charlotte Hornets,Miami Heat
East,8-seed,Philadelphia 76ers,Miami Heat,Philadelphia 76ers
West,7v8,Phoenix Suns,Golden State Warriors,Phoenix Suns
West,9v10,Los Angeles Clippers,Portland Trail Blazers,Los Angeles Clippers
West,8-seed,Golden State Warriors,Los Angeles Clippers,Golden State Warriors
